POA_CODE_2021,One_method_Train_P,One_method_Bus_P,One_method_Ferry_P,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Motorbike_scootr_P,One_method_Bicycle_P
POA3000,1774,342,0,3238,88,1894,234,215,412
POA3002,44,15,0,121,8,558,35,5,67
POA3003,270,38,0,311,18,860,95,47,124
POA3004,55,15,0,583,23,1488,116,33,114
POA3006,458,65,0,1310,81,2360,226,117,230
POA3008,209,27,0,1012,25,1543,129,55,109
POA3011,797,216,0,39,38,3670,237,55,234
POA3012,378,169,4,18,49,5657,401,59,186
POA3013,383,31,4,0,17,2850,149,26,134
POA3015,302,25,5,5,12,3632,209,29,101
POA3016,198,14,0,0,6,2900,196,21,78
POA3018,185,24,0,0,9,2834,156,19,51
POA3019,92,89,0,3,28,2207,223,19,28
POA3020,672,272,4,8,84,10031,901,71,88
POA3021,901,122,0,8,83,12059,1174,35,36
POA3022,34,11,0,0,10,738,46,0,9
POA3023,479,161,4,5,76,16642,1394,33,32
POA3024,612,80,0,0,34,7702,688,28,25
POA3025,61,62,5,0,14,2636,163,13,34
POA3026,80,14,0,4,15,2361,192,3,9
POA3027,204,19,0,0,18,2056,164,12,7
POA3028,437,62,7,3,40,6887,494,38,37
POA3029,1601,315,13,12,284,31614,2649,112,106
POA3030,1214,223,5,6,134,27872,2304,131,143
POA3031,488,59,4,137,39,2459,162,39,362
POA3032,310,54,0,381,57,6273,440,52,226
POA3033,69,28,4,0,4,3486,230,8,16
POA3034,53,31,0,12,11,2726,203,13,18
POA3036,13,5,0,0,3,1600,75,0,9
POA3037,560,72,4,3,36,14355,1072,33,21
POA3038,196,23,0,0,20,7498,507,20,8
POA3039,374,35,0,196,19,3053,211,25,129
POA3040,397,56,3,177,30,6045,419,35,99
POA3041,119,24,3,59,13,3158,186,12,30
POA3042,87,31,3,46,14,4246,277,24,36
POA3043,57,64,0,21,16,4561,307,16,24
POA3044,431,51,5,114,24,6432,435,50,132
POA3045,0,0,0,0,0,0,0,0,0
POA3046,1017,87,0,22,73,7881,525,60,83
POA3047,309,104,0,3,45,3750,346,20,24
POA3048,133,43,0,0,19,3427,239,8,10
POA3049,50,12,0,0,7,2781,156,8,3
POA3051,151,40,0,478,40,1534,115,36,293
POA3052,45,21,0,244,16,845,51,15,176
POA3053,190,84,0,686,40,1217,97,54,281
POA3054,18,26,5,252,14,1021,67,19,325
POA3055,68,63,0,394,24,2796,173,40,329
POA3056,333,55,0,742,58,3344,184,61,955
POA3057,28,37,0,561,32,1872,111,24,497
POA3058,417,97,0,500,55,6091,403,63,559
POA3059,102,28,0,4,21,6025,364,10,14
POA3060,236,31,0,11,30,2841,193,24,38
POA3061,30,9,0,0,4,903,75,0,8
POA3062,0,0,0,0,0,3,0,0,0
POA3063,0,0,0,0,0,165,10,0,0
POA3064,962,251,13,3,160,29635,2157,51,32
POA3065,48,20,0,280,22,1044,47,23,262
POA3066,72,45,0,246,24,1115,53,23,230
POA3067,135,52,4,262,20,1331,78,42,234
POA3068,155,57,0,367,34,2456,132,36,668
POA3070,401,92,0,244,27,3674,211,40,665
POA3071,208,65,0,236,24,3299,174,27,374
POA3072,465,165,0,369,39,6528,415,91,404
POA3073,860,216,7,150,70,11155,729,84,238
POA3074,279,54,0,0,37,4643,386,17,29
POA3075,335,68,0,4,38,5311,396,21,21
POA3076,342,140,3,0,53,9006,627,21,24
