POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P
POA3000,21548,21539,43084,347,345,697,388,376,767,773,950,1726,5009,5819,10827,8888,8779,17665,3240,2670,5909,1333,1133,2466,867,822,1688,482,473,956,183,136,323,40,36,73
POA3002,2353,2545,4896,59,53,110,87,91,176,40,56,92,130,153,275,565,577,1144,397,386,786,255,297,552,308,351,663,299,349,651,172,150,324,39,84,119
POA3003,4093,3926,8025,118,137,250,167,167,336,117,117,227,523,583,1098,1655,1588,3248,761,617,1377,372,329,697,223,209,435,117,125,245,45,47,91,5,12,15
POA3004,5655,5827,11482,168,193,362,224,223,448,101,105,205,359,358,711,1574,1789,3363,1152,1004,2155,630,596,1224,507,562,1071,489,551,1042,342,316,659,109,136,242
POA3006,11499,11197,22699,365,332,702,333,326,657,202,257,458,1341,1517,2861,4744,4696,9434,2322,1905,4225,907,841,1748,646,675,1322,420,451,868,184,176,358,34,26,65
POA3008,8037,7458,15495,359,328,695,266,252,513,118,124,248,770,796,1564,3083,2952,6036,1601,1290,2891,733,664,1397,604,600,1204,375,322,695,107,104,207,22,26,42
POA3011,11361,10913,22278,592,567,1156,819,748,1575,324,304,624,866,817,1681,3107,3089,6195,2209,1978,4188,1304,1235,2538,1013,977,1993,666,570,1240,319,387,703,150,239,390
POA3012,13593,13423,27023,870,845,1716,1545,1318,2864,535,529,1068,805,760,1562,3156,2908,6061,2480,2479,4963,1718,1729,3452,1228,1241,2469,697,826,1525,379,488,873,179,300,479
POA3013,7603,8038,15636,550,504,1050,981,963,1946,345,334,682,365,367,727,1274,1380,2654,1412,1492,2901,1168,1219,2386,773,836,1611,416,450,870,214,297,511,109,184,300
POA3015,9144,9492,18634,779,684,1459,1276,1280,2561,450,426,877,411,378,793,1188,1284,2472,1670,1814,3486,1377,1482,2860,1035,1018,2053,559,619,1180,275,309,589,120,198,320
POA3016,7891,8141,16025,348,297,647,1130,1033,2168,577,475,1049,471,377,849,603,689,1297,890,1035,1921,1238,1420,2658,1238,1278,2516,892,906,1796,384,435,821,110,191,303
POA3018,6470,7084,13556,409,374,782,799,800,1600,252,318,575,270,260,530,698,872,1569,1094,1143,2238,987,1027,2016,794,810,1602,622,750,1370,408,474,887,145,252,398
POA3019,4927,4753,9682,277,242,521,544,448,987,251,276,530,390,336,726,1202,1020,2222,704,716,1416,536,564,1098,487,503,985,362,430,789,128,157,287,43,74,116
POA3020,22570,21797,44372,1312,1254,2562,2424,2270,4692,1109,1076,2186,1637,1459,3093,4379,3716,8090,3338,3023,6370,2664,2694,5356,2430,2334,4759,1781,1980,3766,1093,1343,2442,403,661,1058
POA3021,27643,27470,55112,1624,1531,3152,3232,2971,6206,1512,1490,3005,2102,1891,3989,4793,4443,9237,3578,3585,7167,3094,3290,6386,3102,3114,6214,2733,2942,5672,1424,1568,2997,436,650,1087
POA3022,1600,1567,3170,96,127,222,160,161,322,66,60,123,81,74,156,322,282,605,283,274,546,226,173,398,150,121,276,113,143,257,76,77,150,21,82,107
POA3023,34082,33065,67146,2083,1931,4013,5271,4990,10258,2395,2277,4679,2410,1980,4388,4970,4612,9573,5695,5599,11292,4771,4803,9577,3147,3192,6340,2121,2354,4479,985,982,1968,230,344,575
POA3024,16901,17099,34004,1724,1599,3316,2980,2883,5864,1020,984,2001,1103,977,2086,2760,3477,6238,3521,3198,6714,1698,1705,3404,1100,1196,2295,694,724,1421,244,268,515,59,91,149
POA3025,6254,6713,12962,527,499,1024,788,814,1600,264,292,551,302,301,598,1020,1022,2047,1037,1040,2077,747,758,1508,521,515,1035,426,539,962,404,596,999,220,334,561
POA3026,4425,4338,8770,367,351,709,870,859,1730,295,277,570,256,229,487,602,580,1181,872,944,1811,575,561,1132,378,303,678,159,170,324,57,61,117,7,13,16
POA3027,4939,4509,9448,474,411,882,717,702,1417,250,183,433,397,297,694,1031,938,1965,1129,1071,2199,516,451,969,256,276,532,145,157,300,31,21,52,3,10,12
POA3028,13915,14278,28191,905,829,1732,1546,1538,3091,702,662,1369,859,799,1660,2314,2159,4471,2117,2119,4232,1758,1888,3642,1744,1932,3673,1258,1371,2628,536,661,1196,179,318,496
POA3029,66596,63291,129888,6439,6057,12499,11014,10482,21494,3522,3297,6815,4844,3646,8490,12232,12541,24770,13568,12010,25580,6435,5885,12319,4334,4745,9079,2808,3089,5903,1192,1218,2408,210,326,541
POA3030,59258,59945,119201,4895,4633,9526,10020,9316,19334,3547,3195,6749,3466,3351,6820,8672,9686,18359,11411,11357,22767,7330,7340,14671,4898,5094,9998,3269,3490,6759,1364,1710,3076,380,768,1147
POA3031,8534,9237,17772,516,527,1041,765,758,1522,312,330,641,599,666,1266,2057,2221,4272,1570,1703,3275,1065,1136,2199,792,835,1622,569,613,1181,207,308,511,89,149,241
POA3032,14824,15049,29874,882,796,1674,1546,1365,2912,661,633,1291,1092,1099,2195,2924,3123,6047,2492,2478,4968,1999,2031,4028,1540,1684,3220,1077,1132,2208,487,492,976,135,219,354
POA3033,7297,7782,15078,413,387,807,923,924,1839,449,423,876,386,352,737,803,841,1642,980,972,1950,1043,1091,2139,787,870,1651,633,842,1479,651,797,1451,231,288,514
POA3034,6032,6357,12388,334,296,633,705,649,1346,285,292,575,343,258,597,723,650,1376,814,843,1659,766,750,1510,634,745,1373,611,813,1424,570,717,1280,251,355,607
POA3036,2934,3036,5974,164,107,272,369,302,676,187,198,391,171,164,335,280,285,560,315,325,643,376,436,817,408,437,843,341,404,746,240,232,476,78,141,224
POA3037,25477,25927,51402,1456,1364,2818,3827,3644,7475,1990,1883,3871,1921,1784,3706,3341,3279,6622,3562,3929,7489,3849,4083,7932,2868,2947,5816,1719,1799,3520,756,831,1591,190,381,569
POA3038,13215,13488,26703,586,537,1125,1415,1334,2752,880,891,1773,989,865,1850,1632,1497,3127,1370,1430,2795,1725,2021,3749,2099,2375,4470,1621,1573,3188,718,713,1434,187,262,449
POA3039,7821,8401,16224,389,357,749,746,753,1502,369,351,722,535,575,1105,1533,1607,3138,1176,1242,2423,1012,1119,2130,951,986,1936,656,708,1361,311,439,752,144,268,415
POA3040,12997,13727,26722,573,522,1089,1569,1438,3004,855,810,1670,1030,990,2017,1871,1960,3835,1703,1895,3598,1871,2076,3950,1643,1748,3393,1123,1205,2332,529,662,1195,230,423,655
POA3041,6437,6675,13111,281,269,549,940,847,1785,507,422,927,402,423,828,737,736,1468,853,934,1790,979,1029,2008,758,844,1602,600,656,1255,276,323,601,111,189,304
POA3042,8135,8625,16763,529,491,1020,945,933,1876,446,392,844,474,398,871,1128,1162,2288,1208,1269,2474,1124,1182,2305,891,996,1889,710,891,1605,470,629,1101,210,286,501
POA3043,8872,9047,17912,533,493,1021,1001,976,1972,487,422,908,526,429,951,1340,1237,2572,1214,1247,2460,1075,1120,2199,961,1064,2027,923,1139,2061,653,705,1357,168,211,381
POA3044,13847,14847,28701,839,851,1691,1692,1727,3419,778,694,1478,868,795,1654,2310,2521,4833,2309,2400,4709,1877,2026,3900,1472,1492,2965,858,990,1847,506,715,1221,338,648,987
POA3045,41,19,64,0,3,3,0,4,4,4,4,3,4,0,6,8,0,8,5,6,8,10,0,12,9,0,11,0,6,4,0,0,0,0,0,0
POA3046,18287,18483,36772,1350,1285,2636,1985,1841,3827,840,719,1557,1437,1271,2709,3882,3747,7631,2993,2820,5814,1956,1999,3961,1628,1735,3363,1010,1226,2239,731,1101,1829,465,747,1211
POA3047,11249,10225,21478,817,735,1554,1625,1436,3061,699,650,1346,918,740,1655,2204,1733,3932,1574,1380,2952,1159,1132,2293,1102,1040,2144,644,687,1329,397,489,889,114,206,327
POA3048,8922,9157,18081,611,609,1218,1334,1269,2598,617,586,1204,726,673,1407,1369,1347,2718,1135,1128,2265,1029,1151,2180,1015,1111,2133,637,752,1385,367,389,757,79,135,213
POA3049,4759,5059,9812,274,264,539,566,546,1112,309,288,599,298,311,605,684,646,1329,604,664,1265,633,699,1330,643,721,1368,459,547,1004,218,272,488,66,91,159
POA3051,7286,7670,14953,278,274,548,613,575,1186,343,361,704,940,1118,2066,2118,2165,4283,1163,1192,2355,691,781,1472,540,569,1105,389,385,779,161,169,333,47,71,126
POA3052,3469,3826,7297,105,87,195,153,135,292,468,767,1238,717,813,1529,871,822,1696,424,342,760,218,225,446,198,200,400,155,186,342,110,126,245,39,114,155
POA3053,7848,8188,16034,164,146,310,304,254,555,446,573,1020,1865,2018,3890,2725,2692,5417,908,828,1736,470,487,963,367,445,809,311,371,684,210,238,447,84,132,217
POA3054,3845,4343,8186,168,150,328,290,278,570,129,128,259,350,490,842,1004,1142,2148,537,570,1112,393,464,858,392,415,809,348,386,732,177,214,391,51,93,141
POA3055,7001,7746,14746,365,330,705,573,606,1180,241,272,524,570,672,1243,1775,1959,3734,1219,1283,2507,850,893,1748,622,706,1332,422,506,927,254,324,580,102,181,289
POA3056,12067,12846,24912,512,472,983,810,760,1571,329,344,669,1059,1268,2326,3476,3804,7280,2267,2165,4432,1403,1379,2788,991,1092,2086,639,785,1426,409,516,922,174,268,440
POA3057,6200,7063,13262,244,250,489,395,364,762,187,178,364,445,623,1069,2089,2364,4445,1240,1411,2654,697,706,1399,412,517,932,258,339,597,158,215,372,71,98,173
POA3058,16963,17941,34906,995,965,1954,1832,1741,3573,760,782,1547,1157,1124,2285,3161,3234,6388,2863,2991,5860,2342,2511,4852,1670,1803,3473,1104,1276,2376,699,927,1624,379,591,963
POA3059,10617,10659,21274,831,697,1529,1506,1487,2994,701,707,1413,746,744,1487,1493,1638,3128,1498,1556,3056,1371,1482,2857,1282,1291,2574,820,730,1545,319,248,568,44,76,120
POA3060,7279,6993,14274,547,536,1082,995,951,1939,385,364,749,563,416,982,1289,1080,2371,1116,1026,2136,786,714,1501,624,641,1260,430,473,911,316,486,805,226,311,534
POA3061,2584,2394,4977,175,163,335,330,337,663,153,125,279,171,145,311,356,335,693,345,284,626,326,265,594,289,235,520,209,268,479,182,180,365,53,60,113
POA3062,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,277,281,563,6,8,15,36,29,66,25,26,49,21,25,40,16,25,40,25,31,53,51,50,102,48,39,92,25,31,55,19,14,32,6,5,7
POA3064,57414,57000,114413,5509,5129,10644,9771,9118,18891,3693,3528,7226,4107,3879,7985,10105,10896,21003,10134,9789,19925,6010,6249,12262,4667,4543,9204,2359,2535,4897,837,1008,1849,218,321,539
