POA_CODE_2021,Buddhism_P,Christianity_Anglican_P,Christianity_Baptist_P,Christianity_Catholic_P,Hinduism_P,Islam_P,Judaism_P
POA3000,4543,711,415,4520,3220,1133,75
POA3002,73,419,38,908,37,48,30
POA3003,414,193,58,1063,469,239,24
POA3004,376,676,82,1968,451,231,247
POA3006,1222,683,198,3513,1840,776,78
POA3008,728,425,114,2084,2012,673,36
POA3011,1639,560,138,3062,856,861,43
POA3012,1984,747,210,5266,870,1240,23
POA3013,403,652,83,2890,130,226,31
POA3015,264,913,94,4334,245,592,41
POA3016,181,1235,87,3797,96,169,24
POA3018,201,890,147,3795,135,250,13
POA3019,1634,174,216,1957,532,794,19
POA3020,5944,911,909,10971,1823,3211,40
POA3021,8355,869,1139,14410,1706,3444,8
POA3022,213,70,24,833,116,203,4
POA3023,5615,1445,840,19425,2882,5547,21
POA3024,779,1824,804,5866,5477,1985,13
POA3025,411,380,85,3380,176,2062,12
POA3026,934,148,67,2830,426,691,0
POA3027,462,155,105,1356,1878,984,4
POA3028,911,1415,474,7687,1412,1451,5
POA3029,3079,3899,2107,20945,21564,18951,44
POA3030,3758,5579,2205,25067,13740,7165,59
POA3031,733,587,92,2900,255,1304,42
POA3032,1718,1024,248,7840,751,1239,38
POA3033,409,674,108,6694,247,304,3
POA3034,545,386,82,5571,163,351,6
POA3036,74,516,40,2451,37,175,0
POA3037,2468,1527,403,18374,1886,3337,12
POA3038,943,936,206,10637,413,1483,0
POA3039,302,790,133,5246,476,293,35
POA3040,549,1326,223,10312,813,696,13
POA3041,262,785,72,4746,377,545,12
POA3042,306,739,109,7607,273,279,7
POA3043,428,931,114,6550,330,1031,15
POA3044,563,1014,131,9019,771,1685,19
POA3045,0,3,0,6,0,0,0
POA3046,975,1099,236,9513,3132,6208,20
POA3047,464,481,75,3255,1173,8657,0
POA3048,409,359,39,3343,312,8206,5
POA3049,190,532,44,3415,64,928,3
POA3051,665,364,82,1732,373,1045,45
POA3052,241,356,51,1059,174,281,27
POA3053,966,385,90,1822,730,1141,73
POA3054,96,331,14,1302,51,122,81
POA3055,322,403,63,2914,296,598,36
POA3056,474,571,83,3452,423,724,116
POA3057,268,300,37,2009,165,245,65
POA3058,592,772,133,8059,693,2264,66
POA3059,595,572,91,8531,470,4145,5
POA3060,216,230,50,3841,599,4932,13
POA3061,81,47,7,1484,83,1909,0
POA3062,0,0,0,5,0,0,0
POA3063,5,57,3,198,0,37,0
POA3064,3519,2333,537,30292,9176,21140,28
POA3065,384,311,51,1168,60,538,72
POA3066,371,237,46,981,57,653,68
POA3067,432,269,41,1253,130,98,78
POA3068,299,770,58,2624,81,259,149
POA3070,405,713,71,3511,143,244,159
POA3071,321,475,71,3385,213,402,67
POA3072,1062,851,158,6434,805,1631,55
POA3073,1451,1379,240,14199,1958,3278,38
POA3074,1334,305,93,4619,1082,3075,3
POA3075,1248,416,126,5278,1281,3572,8
POA3076,1133,948,175,7831,2305,4165,10
POA3078,216,488,49,2180,113,90,59
POA3079,299,1098,123,4145,322,219,58
POA3081,382,601,143,2523,291,1510,17
POA3082,831,972,241,8560,954,1571,10
POA3083,1367,1339,242,8044,1352,1456,15
POA3084,538,1791,314,7172,708,419,34
POA3085,288,966,176,3614,284,246,12
POA3087,140,598,56,2494,187,111,8
POA3088,366,1969,321,7169,308,281,23
POA3089,71,1085,139,3035,87,104,8
POA3090,25,208,25,929,11,22,0
POA3091,12,119,9,527,14,25,0
POA3093,44,347,29,1031,22,31,6
POA3094,74,675,98,2119,49,74,6
POA3095,294,2238,454,6147,156,209,46
POA3096,16,185,19,342,0,10,0
POA3097,9,132,56,235,10,4,0
POA3099,48,474,83,716,12,19,12
POA3101,713,1831,328,5557,402,199,218
POA3102,149,435,75,1726,139,39,53
POA3103,880,1197,328,2705,575,193,47
POA3104,1222,1226,406,4093,718,422,77
POA3105,450,364,143,3584,170,272,15
POA3106,601,992,385,3671,324,636,62
POA3107,510,787,263,3260,251,454,63
POA3108,1618,1225,523,3864,548,898,92
POA3109,1777,1496,970,4715,835,1556,77
POA3111,362,929,454,2587,227,317,25
POA3113,104,697,162,1487,40,65,10
POA3114,39,350,92,1087,10,36,5
POA3115,28,472,80,742,12,3,0
POA3116,147,994,290,2314,125,89,14
POA3121,1414,1477,167,5188,277,505,194
POA3122,595,1767,197,4118,717,343,211
POA3123,402,1086,136,2633,451,207,340
POA3124,611,1960,338,4510,529,186,132
POA3125,979,832,294,2561,876,295,39
POA3126,229,807,158,1435,175,57,48
POA3127,463,1746,413,3440,322,138,39
POA3128,1705,918,458,2877,951,360,29
POA3129,1048,1018,390,2847,510,298,30
POA3130,1342,2211,929,5770,1069,359,45
POA3131,1407,1347,722,3895,955,515,36
POA3132,590,999,510,2874,529,256,24
POA3133,1161,1502,686,3939,964,406,28
POA3134,935,2405,1253,6399,650,430,35
POA3135,453,1414,1011,3409,401,149,21
POA3136,790,3717,2120,7855,815,324,48
POA3137,209,1163,647,2500,117,79,11
