,id,geo,suburb,postcode,rent,Deakin University - Burwood,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3125, 'Surrey Hills South')","(-37.84, 145.12)",Surrey Hills South,3125.0,330.0,0.0,1002.0,13,13,True,1.4 km,19.4 km,30,48
1,"(3125, 'Burwood')","(-37.84, 145.12)",Burwood,3125.0,330.0,0.0,1002.0,13,13,True,1.4 km,19.4 km,30,48
2,"(3128, 'Wattle Park')","(-37.82, 145.12)",Wattle Park,3128.0,350.0,2.223901674,343.0,19,16,True,4.0 km,16.6 km,33,32
3,"(3128, 'Houston')","(-37.82, 145.12)",Houston,3128.0,350.0,2.223901674,189.0,19,16,True,4.0 km,16.6 km,33,32
4,"(3128, 'Box Hill South')","(-37.82, 145.12)",Box Hill South,3128.0,350.0,2.223901674,283.0,19,16,True,4.0 km,16.6 km,33,32
5,"(3128, 'Box Hill Central')","(-37.82, 145.12)",Box Hill Central,3128.0,350.0,2.223901674,283.0,19,16,True,4.0 km,16.6 km,33,32
6,"(3128, 'Box Hill')","(-37.82, 145.12)",Box Hill,3128.0,240.0,2.223901674,704.0,19,16,True,4.0 km,16.6 km,33,32
7,"(3126, 'Canterbury')","(-37.84, 145.09)",Canterbury,3126.0,330.0,2.634412552,1002.0,20,20,True,2.7 km,12.8 km,25,59
8,"(3126, 'Camberwell East')","(-37.84, 145.09)",Camberwell East,3126.0,330.0,2.634412552,1002.0,20,20,True,2.7 km,12.8 km,25,59
9,"(3151, 'Burwood Heights')","(-37.86, 145.14)",Burwood Heights,3151.0,338.0,2.833620329,1473.0,36,36,True,5.1 km,23.2 km,31,71
10,"(3151, 'Burwood East')","(-37.86, 145.14)",Burwood East,3151.0,338.0,2.833620329,1473.0,36,36,True,5.1 km,23.2 km,31,71
11,"(3127, 'Surrey Hills North')","(-37.82, 145.1)",Surrey Hills North,3127.0,240.0,2.833915475,704.0,29,28,True,3.4 km,14.7 km,30,38
12,"(3127, 'Mont Albert')","(-37.82, 145.1)",Mont Albert,3127.0,330.0,2.833915475,1002.0,29,28,True,3.4 km,14.7 km,30,38
13,"(3127, 'Surrey Hills')","(-37.82, 145.1)",Surrey Hills,3127.0,240.0,2.833915475,704.0,29,28,True,3.4 km,14.7 km,30,38
14,"(3130, 'Laburnum')","(-37.82, 145.15)",Laburnum,3130.0,315.0,3.447861614,260.0,29,26,True,6.6 km,19.0 km,32,34
15,"(3130, 'Blackburn South')","(-37.82, 145.15)",Blackburn South,3130.0,315.0,3.447861614,1421.0,29,26,True,6.6 km,19.0 km,32,34
16,"(3130, 'Blackburn North')","(-37.82, 145.15)",Blackburn North,3130.0,315.0,3.447861614,1421.0,29,26,True,6.6 km,19.0 km,32,34
17,"(3130, 'Blackburn')","(-37.82, 145.15)",Blackburn,3130.0,315.0,3.447861614,383.0,29,26,True,6.6 km,19.0 km,32,34
18,"(3170, 'Waverley Gardens')","(-37.87, 145.1)",Waverley Gardens,3170.0,340.0,3.769769111,436.0,38,27,True,6.6 km,16.0 km,24,49
19,"(3170, 'Mulgrave')","(-37.87, 145.1)",Mulgrave,3170.0,340.0,3.769769111,309.0,38,27,True,6.6 km,16.0 km,24,49
20,"(3147, 'Ashburton')","(-37.86, 145.08)",Ashburton,3147.0,300.0,4.156970118,2008.0,43,43,True,8.5 km,13.4 km,21,51
21,"(3147, 'Ashwood')","(-37.86, 145.08)",Ashwood,3147.0,300.0,4.156970118,2008.0,43,43,True,8.5 km,13.4 km,21,51
22,"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146.0,300.0,4.529012915,370.0,35,34,True,5.1 km,13.1 km,20,43
23,"(3149, 'Syndal')","(-37.88, 145.13)",Syndal,3149.0,340.0,4.533614653,712.0,39,40,True,6.8 km,18.8 km,26,46
24,"(3149, 'Pinewood')","(-37.88, 145.13)",Pinewood,3149.0,240.0,4.533614653,625.0,39,40,True,6.8 km,18.8 km,26,46
25,"(3149, 'Mount Waverley')","(-37.88, 145.13)",Mount Waverley,3149.0,240.0,4.533614653,576.0,39,40,True,6.8 km,18.8 km,26,46
26,"(3129, 'Mont Albert North')","(-37.8, 145.13)",Mont Albert North,3129.0,315.0,4.533706894,1421.0,32,31,True,6.1 km,19.2 km,28,50
27,"(3129, 'Kerrimuir')","(-37.8, 145.13)",Kerrimuir,3129.0,315.0,4.533706894,1421.0,32,31,True,6.1 km,19.2 km,28,50
28,"(3129, 'Box Hill North')","(-37.8, 145.13)",Box Hill North,3129.0,350.0,4.533706894,343.0,32,31,True,6.1 km,19.2 km,28,50
29,"(3103, 'Balwyn')","(-37.81, 145.08)",Balwyn,3103.0,300.0,4.844681311,20.0,34,43,True,6.5 km,11.9 km,28,51
30,"(3103, 'Balwyn East')","(-37.81, 145.08)",Balwyn East,3103.0,300.0,4.844681311,11.0,34,43,True,6.5 km,11.9 km,28,51
31,"(3131, 'Nunawading')","(-37.84, 145.18)",Nunawading,3131.0,335.0,5.268825036,553.0,58,46,True,16.4 km,24.2 km,36,64
32,"(8627, 'Camberwell')","(-37.84, 145.06)",Camberwell,8627.0,330.0,5.268825036,14270.0,34,34,True,5.5 km,10.8 km,20,52
33,"(3131, 'Brentford Square')","(-37.84, 145.18)",Brentford Square,3131.0,315.0,5.268825036,260.0,58,46,True,16.4 km,24.2 km,36,64
34,"(3131, 'Forest Hill')","(-37.84, 145.18)",Forest Hill,3131.0,315.0,5.268825036,117.0,58,46,True,16.4 km,24.2 km,36,64
35,"(3124, 'Camberwell North')","(-37.82, 145.06)",Camberwell North,3124.0,300.0,5.719596328,1371.0,37,38,True,6.6 km,11.5 km,24,36
36,"(3124, 'Camberwell')","(-37.82, 145.06)",Camberwell,3124.0,300.0,5.719596328,1371.0,37,38,True,6.6 km,11.5 km,24,36
37,"(3124, 'Middle Camberwell')","(-37.82, 145.06)",Middle Camberwell,3124.0,330.0,5.719596328,1002.0,37,38,True,6.6 km,11.5 km,24,36
38,"(3124, 'Camberwell West')","(-37.82, 145.06)",Camberwell West,3124.0,300.0,5.719596328,706.0,37,38,True,6.6 km,11.5 km,24,36
39,"(3124, 'Camberwell South')","(-37.82, 145.06)",Camberwell South,3124.0,300.0,5.719596328,1371.0,37,38,True,6.6 km,11.5 km,24,36
40,"(3124, 'Hartwell')","(-37.82, 145.06)",Hartwell,3124.0,300.0,5.719596328,706.0,37,38,True,6.6 km,11.5 km,24,36
41,"(3122, 'Auburn South')","(-37.84, 145.05)",Auburn South,3122.0,350.0,6.146962503,218.0,40,41,True,6.7 km,10.4 km,18,43
42,"(3122, 'Glenferrie South')","(-37.84, 145.05)",Glenferrie South,3122.0,350.0,6.146962503,3899.0,40,41,True,6.7 km,10.4 km,18,43
43,"(3133, 'Vermont')","(-37.84, 145.19)",Vermont,3133.0,350.0,6.146962503,622.0,43,58,True,9.8 km,26.5 km,36,72
44,"(3133, 'Vermont South')","(-37.84, 145.19)",Vermont South,3133.0,350.0,6.146962503,496.0,43,58,True,9.8 km,26.5 km,36,72
45,"(3122, 'Hawthorn')","(-37.84, 145.05)",Hawthorn,3122.0,350.0,6.146962503,3899.0,40,41,True,6.7 km,10.4 km,18,43
46,"(3122, 'Hawthorn West')","(-37.84, 145.05)",Hawthorn West,3122.0,350.0,6.146962503,3899.0,40,41,True,6.7 km,10.4 km,18,43
47,"(3122, 'Hawthorn North')","(-37.84, 145.05)",Hawthorn North,3122.0,350.0,6.146962503,3899.0,40,41,True,6.7 km,10.4 km,18,43
48,"(3150, 'Brandon Park')","(-37.88, 145.17)",Brandon Park,3150.0,340.0,6.249050648,712.0,56,48,True,11.8 km,22.0 km,31,53
49,"(3150, 'Glen Waverley')","(-37.88, 145.17)",Glen Waverley,3150.0,340.0,6.249050648,712.0,56,48,True,11.8 km,22.0 km,31,53
50,"(3150, 'Wheelers Hill')","(-37.88, 145.17)",Wheelers Hill,3150.0,340.0,6.249050648,712.0,56,48,True,11.8 km,22.0 km,31,53
51,"(3132, 'Rangeview')","(-37.82, 145.19)",Rangeview,3132.0,335.0,6.53767013,553.0,39,37,True,10.5 km,23.3 km,37,45
52,"(3132, 'Mitcham North')","(-37.82, 145.19)",Mitcham North,3132.0,335.0,6.53767013,254.0,39,37,True,10.5 km,23.3 km,37,45
53,"(3132, 'Mitcham')","(-37.82, 145.19)",Mitcham,3132.0,335.0,6.53767013,282.0,39,37,True,10.5 km,23.3 km,37,45
54,"(3148, 'Jordanville')","(-37.89, 145.08)",Jordanville,3148.0,330.0,6.575751489,907.0,39,34,True,10.4 km,16.5 km,23,41
55,"(3148, 'Chadstone')","(-37.89, 145.08)",Chadstone,3148.0,300.0,6.575751489,2008.0,39,34,True,10.4 km,16.5 km,23,41
56,"(3148, 'Holmesglen')","(-37.89, 145.08)",Holmesglen,3148.0,300.0,6.575751489,2008.0,39,34,True,10.4 km,16.5 km,23,41
57,"(3148, 'Chadstone Centre')","(-37.89, 145.08)",Chadstone Centre,3148.0,300.0,6.575751489,2008.0,39,34,True,10.4 km,16.5 km,23,41
58,"(3108, 'Doncaster')","(-37.78, 145.12)",Doncaster,3108.0,340.0,6.671705023,558.0,38,37,True,10.3 km,18.2 km,28,48
59,"(3109, 'Doncaster East')","(-37.81, 145.19)",Doncaster East,3109.0,340.0,6.994885626,447.0,51,48,True,13.6 km,25.3 km,32,66
60,"(3109, 'Tunstall Square Po')","(-37.81, 145.19)",Tunstall Square Po,3109.0,340.0,6.994885626,417.0,51,48,True,13.6 km,25.3 km,32,66
61,"(3109, 'Doncaster Heights')","(-37.81, 145.19)",Doncaster Heights,3109.0,340.0,6.994885626,447.0,51,48,True,13.6 km,25.3 km,32,66
62,"(3109, 'The Pines')","(-37.81, 145.19)",The Pines,3109.0,340.0,6.994885626,376.0,51,48,True,13.6 km,25.3 km,32,66
63,"(3104, 'Balwyn North')","(-37.79, 145.07)",Balwyn North,3104.0,338.0,7.085341717,1307.0,61,64,True,15.3 km,11.3 km,23,53
64,"(3104, 'Greythorn')","(-37.79, 145.07)",Greythorn,3104.0,338.0,7.085341717,1307.0,61,64,True,15.3 km,11.3 km,23,53
65,"(3123, 'Auburn')","(-37.83, 145.04)",Auburn,3123.0,300.0,7.113027099,1371.0,31,31,True,6.6 km,7.9 km,18,35
66,"(3123, 'Hawthorn East')","(-37.83, 145.04)",Hawthorn East,3123.0,300.0,7.113027099,1371.0,31,31,True,6.6 km,7.9 km,18,35
67,"(3166, 'Oakleigh East')","(-37.9, 145.08)",Oakleigh East,3166.0,280.0,7.539205185,992.0,45,39,True,11.6 km,16.6 km,24,43
68,"(3166, 'Oakleigh')","(-37.9, 145.08)",Oakleigh,3166.0,280.0,7.539205185,369.0,45,39,True,11.6 km,16.6 km,24,43
69,"(3166, 'Huntingdale')","(-37.9, 145.08)",Huntingdale,3166.0,290.0,7.539205185,320.0,45,39,True,11.6 km,16.6 km,24,43
70,"(3166, 'Hughesdale')","(-37.9, 145.08)",Hughesdale,3166.0,290.0,7.539205185,740.0,45,39,True,11.6 km,16.6 km,24,43
71,"(3102, 'Kew East')","(-37.8, 145.05)",Kew East,3102.0,300.0,7.588714495,105.0,54,50,True,13.3 km,9.0 km,23,40
72,"(3163, 'Carnegie')","(-37.89, 145.06)",Carnegie,3163.0,300.0,7.658495831,759.0,62,51,True,11.6 km,14.5 km,26,35
73,"(3163, 'Booran Road Po')","(-37.89, 145.06)",Booran Road Po,3163.0,300.0,7.658495831,81.0,62,51,True,11.6 km,14.5 km,26,35
74,"(3163, 'Glen Huntly')","(-37.89, 145.06)",Glen Huntly,3163.0,300.0,7.658495831,759.0,62,51,True,11.6 km,14.5 km,26,35
75,"(3163, 'Murrumbeena')","(-37.89, 145.06)",Murrumbeena,3163.0,300.0,7.658495831,360.0,62,51,True,11.6 km,14.5 km,26,35
76,"(3101, 'Cotham')","(-37.81, 145.04)",Cotham,3101.0,300.0,7.778175224,14.0,44,54,True,9.9 km,8.4 km,23,40
77,"(3101, 'Kew')","(-37.81, 145.04)",Kew,3101.0,300.0,7.778175224,31.0,44,54,True,9.9 km,8.4 km,23,40
78,"(3106, 'Templestowe')","(-37.77, 145.12)",Templestowe,3106.0,340.0,7.783655861,400.0,43,47,True,11.4 km,18.8 km,30,47
79,"(3800, 'Monash University')","(-37.91, 145.13)",Monash University,3800.0,288.0,7.832987416,140.0,52,71,True,10.4 km,22.3 km,26,56
80,"(3144, 'Kooyong')","(-37.84, 145.03)",Kooyong,3144.0,330.0,7.903237383,2932.0,52,49,True,8.6 km,7.8 km,18,25
81,"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144.0,310.0,7.903237383,781.0,52,49,True,8.6 km,7.8 km,18,25
82,"(3144, 'Malvern')","(-37.84, 145.03)",Malvern,3144.0,330.0,7.903237383,2932.0,52,49,True,8.6 km,7.8 km,18,25
83,"(3145, 'Caulfield East')","(-37.88, 145.05)",Caulfield East,3145.0,310.0,8.313134907,781.0,58,64,True,11.9 km,11.9 km,23,40
84,"(3145, 'Central Park')","(-37.88, 145.05)",Central Park,3145.0,330.0,8.313134907,517.0,58,64,True,11.9 km,11.9 km,23,40
85,"(3145, 'Darling')","(-37.88, 145.05)",Darling,3145.0,330.0,8.313134907,517.0,58,64,True,11.9 km,11.9 km,23,40
86,"(3145, 'Malvern East')","(-37.88, 145.05)",Malvern East,3145.0,325.0,8.313134907,602.0,58,64,True,11.9 km,11.9 km,23,40
87,"(3145, 'Darling South')","(-37.88, 145.05)",Darling South,3145.0,325.0,8.313134907,88.0,58,64,True,11.9 km,11.9 km,23,40
88,"(3145, 'Wattletree Road Po')","(-37.88, 145.05)",Wattletree Road Po,3145.0,325.0,8.313134907,602.0,58,64,True,11.9 km,11.9 km,23,40
89,"(3105, 'Bulleen South')","(-37.77, 145.08)",Bulleen South,3105.0,340.0,8.540199621,400.0,60,58,True,13.4 km,13.9 km,24,47
90,"(3105, 'Bulleen')","(-37.77, 145.08)",Bulleen,3105.0,338.0,8.540199621,257.0,60,58,True,13.4 km,13.9 km,24,47
91,"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143.0,300.0,9.057448282,1326.0,64,75,True,12.7 km,8.6 km,21,38
92,"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143.0,330.0,9.057448282,2932.0,64,75,True,12.7 km,8.6 km,21,38
93,"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162.0,300.0,9.066985853,15.0,65,58,True,14.1 km,11.3 km,26,56
94,"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162.0,300.0,9.066985853,52.0,65,58,True,14.1 km,11.3 km,26,56
95,"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162.0,300.0,9.066985853,220.0,65,58,True,14.1 km,11.3 km,26,56
96,"(3107, 'Templestowe Lower')","(-37.76, 145.1)",Templestowe Lower,3107.0,340.0,9.067505943,558.0,59,57,True,12.3 km,19.5 km,30,56
97,"(3051, 'Hotham Hill')","(-37.91, 145.06)",Hotham Hill,3051.0,310.0,9.397843168,1788.0,60,56,True,14.4 km,16.6 km,29,57
98,"(3051, 'North Melbourne')","(-37.91, 145.06)",North Melbourne,3051.0,310.0,9.397843168,1788.0,60,56,True,14.4 km,16.6 km,29,57
