,id,geo,suburb,postcode,rent,La Trobe University - Bundoora,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(8873, 'Port Melbourne')","(-37.85, 144.89)",Port Melbourne,8873,400,0,14270,81,82,TRUE,24.4 km,5.9 km,20,27
1,"(3016, 'Williamstown North')","(-37.86, 144.9)",Williamstown North,3016,350,1.416773271,149,105,148,TRUE,32.6 km,17.0 km,29,50
2,"(3016, 'Williamstown')","(-37.86, 144.9)",Williamstown,3016,350,1.416773271,1023,89,113,TRUE,31.8 km,14.8 km,26,38
3,"(3015, 'Spotswood')","(-37.84, 144.88)",Spotswood,3015,290,1.416847068,235,79,81,TRUE,28.3 km,11.3 km,23,28
4,"(3015, 'South Kingsville')","(-37.84, 144.88)",South Kingsville,3015,290,1.416847068,104,99,101,TRUE,31.9 km,16.2 km,24,48
5,"(3015, 'Newport')","(-37.84, 144.88)",Newport,3015,290,1.416847068,619,82,84,TRUE,29.7 km,12.6 km,23,30
6,"(3025, 'Altona North')","(-37.84, 144.86)",Altona North,3025,250,2.859304665,909,118,137,TRUE,32.7 km,15.2 km,30,49
8,"(3025, 'Altona Gate')","(-37.84, 144.86)",Altona Gate,3025,250,2.859304665,909,99,117,TRUE,30.6 km,12.2 km,29,30
9,"(3013, 'Yarraville West')","(-37.82, 144.89)",Yarraville West,3013,270,3.335852512,850,83,85,TRUE,27.1 km,10.0 km,22,32
10,"(3013, 'Yarraville')","(-37.82, 144.89)",Yarraville,3013,270,3.335852512,850,105,92,TRUE,28.7 km,10.9 km,22,41
11,"(3011, 'Footscray')","(-37.8, 144.9)",Footscray,3011,290,5.628703723,2797,79,84,TRUE,25.8 km,7.7 km,24,33
12,"(3011, 'Seddon')","(-37.8, 144.9)",Seddon,3011,270,5.628703723,252,88,81,TRUE,26.3 km,8.3 km,24,28
13,"(3011, 'Seddon West')","(-37.8, 144.9)",Seddon West,3011,290,5.628703723,2797,87,80,TRUE,26.1 km,8.2 km,24,26
14,"(3012, 'Tottenham')","(-37.81, 144.85)",Tottenham,3012,260,5.667830844,114,104,98,TRUE,30.7 km,11.8 km,26,47
15,"(3012, 'Brooklyn')","(-37.81, 144.85)",Brooklyn,3012,260,5.667830844,344,99,115,TRUE,31.3 km,12.8 km,24,42
16,"(3012, 'Kingsville')","(-37.81, 144.85)",Kingsville,3012,260,5.667830844,166,94,89,TRUE,28.0 km,9.5 km,24,37
17,"(3012, 'Kingsville West')","(-37.81, 144.85)",Kingsville West,3012,260,5.667830844,944,94,89,TRUE,28.0 km,9.5 km,24,37
18,"(3012, 'Maidstone')","(-37.81, 144.85)",Maidstone,3012,260,5.667830844,944,96,99,TRUE,28.8 km,12.4 km,27,51
19,"(3012, 'West Footscray')","(-37.81, 144.85)",West Footscray,3012,260,5.667830844,754,92,90,TRUE,27.9 km,11.2 km,26,38
20,"(3018, 'Altona')","(-37.87, 144.83)",Altona,3018,280,5.717621799,809,105,97,TRUE,37.6 km,19.5 km,33,45
21,"(3018, 'Seaholme')","(-37.87, 144.83)",Seaholme,3018,280,5.717621799,106,103,95,TRUE,36.6 km,18.5 km,32,43
24,"(3206, 'Albert Park')","(-37.84, 144.96)",Albert Park,3206,300,6.246315674,851,74,90,TRUE,22.8 km,4.7 km,18,23
25,"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,6.246315674,851,84,86,TRUE,24.0 km,5.6 km,18,30
26,"(3003, 'West Melbourne')","(-37.81, 144.94)",West Melbourne,3003,310,6.25030533,1454,98,92,TRUE,24.4 km,5.0 km,20,39
26,"(3003, 'West Melbourne')","(-37.81, 144.94)",West Melbourne,3003,310,6.25030533,1454,98,92,TRUE,24.4 km,5.0 km,20,39
28,"(3207, 'Port Melbourne')","(-37.83, 144.96)",Port Melbourne,3207,300,6.536886537,851,81,91,TRUE,24.1 km,5.8 km,21,26
31,"(3031, 'Kensington')","(-37.79, 144.93)",Kensington,3031,320,7.54031452,689,81,77,TRUE,23.8 km,5.1 km,19,22
32,"(3031, 'Flemington')","(-37.79, 144.93)",Flemington,3031,320,7.54031452,993,88,77,TRUE,24.3 km,6.4 km,22,32
33,"(8011, 'Little Lonsdale Street')","(-37.81, 144.96)",Little Lonsdale Street,8011,360,7.588039501,412.5140736,51,53,TRUE,18.4 km,0.6 km,8,5
34,"(8006, 'Abeckett Street')","(-37.81, 144.96)",Abeckett Street,8006,280,7.588039501,12,56,58,TRUE,18.8 km,0.9 km,10,8
35,"(3006, 'Southbank')","(-37.82, 144.97)",Southbank,3006,330,7.777315026,3870,67,67,TRUE,19.9 km,1.5 km,11,13
