,id,geo,suburb,postcode,rent,La Trobe University - City,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,0,14270,4,4,TRUE,0.3 km,3 m,1,1
1,"(8006, 'Abeckett Street')","(-37.81, 144.96)",Abeckett Street,8006,280,0.878494566,12,9,7,TRUE,1.1 km,0.9 km,10,8
2,"(8011, 'Little Lonsdale Street')","(-37.81, 144.96)",Little Lonsdale Street,8011,360,0.878494566,412.5140736,6,7,TRUE,0.6 km,0.6 km,8,5
3,"(3006, 'South Wharf')","(-37.82, 144.97)",South Wharf,3006,330,1.111950837,178,13,14,TRUE,1.9 km,1.9 km,17,16
4,"(3006, 'Southbank')","(-37.82, 144.97)",Southbank,3006,330,1.111950837,3870,8,9,TRUE,1.2 km,1.5 km,11,13
6,"(3052, 'Parkville')","(-37.8, 144.96)",Parkville,3052,255,1.417142151,759,29,27,TRUE,4.4 km,4.2 km,18,27
7,"(3065, 'Fitzroy')","(-37.8, 144.98)",Fitzroy,3065,380,1.417142151,1917,18,17,TRUE,3.1 km,3.1 km,15,21
8,"(3066, 'Collingwood')","(-37.8, 144.98)",Collingwood,3066,350,1.417142151,1620,25,23,TRUE,4.8 km,3.5 km,14,25
9,"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,1.417142151,1620,25,23,TRUE,4.8 km,3.5 km,14,25
10,"(3052, 'Melbourne University')","(-37.8, 144.96)",Melbourne University,3052,300,1.417142151,759,13,12,TRUE,2.1 km,2.0 km,10,11
11,"(3050, 'Royal Melbourne Hospital')","(-37.8, 144.96)",Royal Melbourne Hospital,3050,300,1.417142151,412.5140736,13,15,TRUE,2.2 km,2.1 km,13,13
12,"(3010, 'University Of Melbourne')","(-37.8, 144.96)",University Of Melbourne,3010,300,1.417142151,412.5140736,13,12,TRUE,2.1 km,2.0 km,10,11
13,"(3008, 'Docklands')","(-37.81, 144.95)",Docklands,3008,330,1.756989129,3084,33,33,TRUE,2.1 km,2.9 km,16,20
14,"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,2.07918911,1022,11,10,TRUE,1.9 km,1.9 km,8,11
17,"(3207, 'Port Melbourne')","(-37.83, 144.96)",Port Melbourne,3207,300,2.391083915,851,24,29,TRUE,5.6 km,5.8 km,21,26
19,"(3003, 'West Melbourne')","(-37.81, 144.94)",West Melbourne,3003,310,2.635483687,1454,36,33,TRUE,6.4 km,5.0 km,20,39
20,"(3068, 'Clifton Hill')","(-37.79, 144.99)",Clifton Hill,3068,330,2.834358037,405,30,26,TRUE,6.4 km,6.3 km,20,24
21,"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,2.834358037,1006,21,19,TRUE,4.6 km,4.7 km,17,23
22,"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,2.860620479,1398,29,29,TRUE,5.3 km,4.7 km,17,24
23,"(3053, 'Carlton South')","(-37.78, 144.97)",Carlton South,3053,255,3.335852512,2227,13,13,TRUE,2.0 km,2.1 km,9,15
24,"(3054, 'Carlton North')","(-37.78, 144.97)",Carlton North,3054,320,3.335852512,459,19,18,TRUE,4.6 km,4.7 km,15,22
25,"(3054, 'Princes Hill')","(-37.78, 144.97)",Princes Hill,3054,320,3.335852512,190,26,27,TRUE,5.2 km,4.7 km,16,27
26,"(3053, 'Carlton')","(-37.78, 144.97)",Carlton,3053,255,3.335852512,2227,17,17,TRUE,3.1 km,3.2 km,11,19
27,"(3004, 'St Kilda Road Central')","(-37.84, 144.98)",St Kilda Road Central,3004,300,3.449543601,4831,15,15,TRUE,2.9 km,2.8 km,13,17
28,"(8004, 'St Kilda Road')","(-37.84, 144.98)",St Kilda Road,8004,280,3.449543601,6,19,19,TRUE,4.0 km,3.9 km,15,21
29,"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,3.449543601,851,28,28,TRUE,5.8 km,5.6 km,18,30
30,"(3004, 'Melbourne')","(-37.84, 144.98)",Melbourne,3004,300,3.449543601,4831,24,26,TRUE,4.1 km,2.9 km,14,25
31,"(3206, 'Albert Park')","(-37.84, 144.96)",Albert Park,3206,300,3.449543601,851,22,21,TRUE,4.8 km,4.7 km,18,23
32,"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121,350,4.158177078,3899,22,22,TRUE,4.0 km,4.0 km,15,21
33,"(3121, 'Richmond East')","(-37.83, 145.01)",Richmond East,3121,300,4.158177078,544,22,22,TRUE,4.0 km,4.0 km,15,21
34,"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121,340,4.158177078,49,22,22,TRUE,4.0 km,4.0 km,15,21
35,"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121,340,4.158177078,91,25,25,TRUE,3.6 km,3.8 km,14,24
36,"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121,340,4.158177078,106,24,31,TRUE,5.2 km,6.3 km,13,26
37,"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121,340,4.158177078,55,24,31,TRUE,5.2 km,6.3 km,13,26
38,"(3552, 'Bendigo')","(-37.83, 145.01)",Bendigo,3552,288,4.158177078,205,136,135,TRUE,164 km,165 km,117,146
39,"(3121, 'Richmond North')","(-37.83, 145.01)",Richmond North,3121,350,4.158177078,123,842,865,TRUE,"1,012 km",793 km,545,946
40,"(3031, 'Kensington')","(-37.79, 144.93)",Kensington,3031,320,4.158981343,689,23,25,TRUE,5.9 km,5.1 km,19,22
41,"(3031, 'Flemington')","(-37.79, 144.93)",Flemington,3031,320,4.158981343,993,32,31,TRUE,6.5 km,6.4 km,22,32
42,"(3142, 'Toorak')","(-37.84, 145.0)",Toorak,3142,300,4.250983839,22,39,39,TRUE,7.6 km,7.9 km,17,43
44,"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,4.782080366,412.5140736,31,30,TRUE,6.4 km,6.7 km,19,33
45,"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,4.782080366,903,31,30,TRUE,6.4 km,6.7 km,19,33
46,"(3181, 'Windsor')","(-37.85, 144.99)",Windsor,3181,270,4.782080366,209,29,27,TRUE,6.3 km,6.9 km,20,22
47,"(3055, 'Moreland West')","(-37.77, 144.94)",Moreland West,3055,290,5.170347227,1041,37,34,TRUE,8.8 km,8.9 km,23,42
49,"(3055, 'Moonee Vale')","(-37.77, 144.94)",Moonee Vale,3055,290,5.170347227,1041,48,46,TRUE,10.4 km,10.7 km,29,49
50,"(3070, 'Northcote')","(-37.77, 145.0)",Northcote,3070,320,5.170347227,1370,39,36,TRUE,7.1 km,6.9 km,24,37
51,"(3070, 'Northcote South')","(-37.77, 145.0)",Northcote South,3070,320,5.170347227,1370,34,31,TRUE,6.3 km,6.1 km,21,33
52,"(3055, 'Brunswick West')","(-37.77, 144.94)",Brunswick West,3055,290,5.170347227,1041,36,33,TRUE,8.0 km,8.1 km,24,41
54,"(3032, 'Maribyrnong')","(-37.78, 144.92)",Maribyrnong,3032,330,5.516300049,1316,41,33,TRUE,9.6 km,10.7 km,26,39
55,"(3032, 'Travancore')","(-37.78, 144.92)",Travancore,3032,330,5.516300049,136,30,28,TRUE,5.5 km,5.0 km,21,28
56,"(3032, 'Ascot Vale')","(-37.78, 144.92)",Ascot Vale,3032,330,5.516300049,1177,28,26,TRUE,5.9 km,5.7 km,21,27
57,"(3057, 'Sumner')","(-37.76, 144.98)",Sumner,3057,350,5.628777994,796,29,28,TRUE,5.8 km,5.6 km,19,26
58,"(3057, 'Brunswick East')","(-37.76, 144.98)",Brunswick East,3057,350,5.628777994,796,30,29,TRUE,6.1 km,5.8 km,21,26
59,"(3057, 'Lygon Street North')","(-37.76, 144.98)",Lygon Street North,3057,350,5.628777994,796,33,29,TRUE,6.2 km,6.0 km,20,31
61,"(3101, 'Kew')","(-37.81, 145.04)",Kew,3101,300,6.149461819,31,32,31,TRUE,7.7 km,7.4 km,22,36
62,"(3056, 'Brunswick North')","(-37.76, 144.94)",Brunswick North,3056,320,6.153157113,2582,40,38,TRUE,7.7 km,7.5 km,23,42
63,"(3056, 'Brunswick Lower')","(-37.76, 144.94)",Brunswick Lower,3056,320,6.153157113,2582,22,21,TRUE,4.6 km,4.5 km,17,21
64,"(3056, 'Brunswick')","(-37.76, 144.94)",Brunswick,3056,320,6.153157113,2582,30,29,TRUE,6.0 km,5.9 km,23,28
65,"(3071, 'Thornbury')","(-37.76, 145.0)",Thornbury,3071,295,6.153157113,1185,51,43,TRUE,9.2 km,9.3 km,26,46
66,"(3144, 'Malvern')","(-37.84, 145.03)",Malvern,3144,330,6.236963825,2932,38,38,TRUE,9.0 km,8.9 km,17,39
67,"(3144, 'Kooyong')","(-37.84, 145.03)",Kooyong,3144,330,6.236963825,2932,25,33,TRUE,7.9 km,7.8 km,16,25
68,"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144,310,6.236963825,781,36,35,TRUE,8.4 km,8.4 km,18,37
69,"(3078, 'Alphington')","(-37.78, 145.03)",Alphington,3078,295,6.238773422,229,38,47,TRUE,10.7 km,10.1 km,22,32
70,"(3078, 'Fairfield')","(-37.78, 145.03)",Fairfield,3078,295,6.238773422,521,37,41,TRUE,10.7 km,8.6 km,23,27
71,"(3011, 'Seddon')","(-37.8, 144.9)",Seddon,3011,270,6.249594896,252,30,34,TRUE,9.3 km,8.3 km,24,28
72,"(3011, 'Footscray')","(-37.8, 144.9)",Footscray,3011,290,6.249594896,2797,31,25,TRUE,8.3 km,7.7 km,24,33
73,"(3011, 'Seddon West')","(-37.8, 144.9)",Seddon West,3011,290,6.249594896,2797,27,33,TRUE,9.0 km,8.2 km,24,26
74,"(3039, 'Moonee Ponds')","(-37.77, 144.92)",Moonee Ponds,3039,330,6.251977326,1294,26,28,TRUE,9.1 km,7.2 km,25,36
75,"(3123, 'Hawthorn East')","(-37.83, 145.04)",Hawthorn East,3123,300,6.538453559,1371,39,39,TRUE,8.8 km,9.2 km,20,43
