,id,geo,suburb,postcode,rent,Monash University - Caulfield,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3145, 'Caulfield East')","(-37.88, 145.05)",Caulfield East,3145,310,0,781,1,1,TRUE,12 m,11.2 km,23,30
1,"(3145, 'Wattletree Road Po')","(-37.88, 145.05)",Wattletree Road Po,3145,325,0,602,21,10,TRUE,4.8 km,11.1 km,19,44
2,"(3145, 'Malvern East')","(-37.88, 145.05)",Malvern East,3145,325,0,602,9,9,TRUE,1.8 km,13.9 km,21,42
4,"(3145, 'Darling South')","(-37.88, 145.05)",Darling South,3145,325,0,88,8,8,TRUE,1.5 km,13.7 km,22,36
5,"(3145, 'Darling')","(-37.88, 145.05)",Darling,3145,330,0,517,8,8,TRUE,1.5 km,13.7 km,22,36
6,"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162,300,0.877661086,220,9,9,TRUE,2.8 km,11.7 km,26,53
7,"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162,300,0.877661086,15,18,29,TRUE,6.0 km,12.5 km,30,50
8,"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162,300,0.877661086,52,30,37,TRUE,4.9 km,10.0 km,29,45
9,"(3163, 'Booran Road Po')","(-37.89, 145.06)",Booran Road Po,3163,300,2.077780599,81,10,8,TRUE,2.4 km,13.1 km,26,38
10,"(3163, 'Carnegie')","(-37.89, 145.06)",Carnegie,3163,300,2.077780599,759,7,7,TRUE,2.4 km,14.3 km,26,32
11,"(3163, 'Glen Huntly')","(-37.89, 145.06)",Glen Huntly,3163,300,2.077780599,759,5,5,TRUE,2.0 km,12.7 km,26,33
12,"(3163, 'Murrumbeena')","(-37.89, 145.06)",Murrumbeena,3163,300,2.077780599,360,18,18,TRUE,4.7 km,16.6 km,25,44
13,"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143,330,2.8333251,2932,7,7,TRUE,3.5 km,8.0 km,21,24
14,"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143,300,2.8333251,1326,7,7,TRUE,3.5 km,8.0 km,21,24
15,"(3184, 'Elwood')","(-37.88, 145.0)",Elwood,3184,320,3.510644319,4115,33,38,TRUE,9.2 km,9.9 km,25,36
16,"(3185, 'Gardenvale')","(-37.88, 145.0)",Gardenvale,3185,325,3.510644319,250,23,29,TRUE,6.7 km,11.9 km,27,33
17,"(3184, 'Brighton Road')","(-37.88, 145.0)",Brighton Road,3184,325,3.510644319,974,26,31,TRUE,8.6 km,7.5 km,23,33
18,"(3185, 'Elsternwick')","(-37.88, 145.0)",Elsternwick,3185,325,3.510644319,4115,28,28,TRUE,8.2 km,10.5 km,27,31
19,"(3185, 'Ripponlea')","(-37.88, 145.0)",Ripponlea,3185,295,3.510644319,597,20,20,TRUE,10.9 km,7.8 km,24,36
20,"(3148, 'Chadstone Centre')","(-37.89, 145.08)",Chadstone Centre,3148,300,3.682306985,2008,31,31,TRUE,10.2 km,16.4 km,22,53
22,"(3148, 'Holmesglen')","(-37.89, 145.08)",Holmesglen,3148,300,3.682306985,2008,31,31,TRUE,10.2 km,16.4 km,22,53
23,"(3148, 'Chadstone')","(-37.89, 145.08)",Chadstone,3148,300,3.682306985,2008,31,31,TRUE,10.2 km,16.4 km,22,53
24,"(3183, 'Balaclava')","(-37.87, 145.0)",Balaclava,3183,325,3.682761385,2289,18,18,TRUE,4.6 km,8.4 km,24,23
25,"(3183, 'St Kilda East')","(-37.87, 145.0)",St Kilda East,3183,325,3.682761385,2289,19,19,TRUE,4.2 km,8.3 km,23,42
26,"(3051, 'Hotham Hill')","(-37.91, 145.06)",Hotham Hill,3051,310,3.769325219,1788,37,36,TRUE,14.4 km,3.2 km,19,20
27,"(3051, 'North Melbourne')","(-37.91, 145.06)",North Melbourne,3051,310,3.769325219,1788,43,38,TRUE,14.5 km,3.6 km,16,24
28,"(3166, 'Hughesdale')","(-37.9, 145.08)",Hughesdale,3166,290,4.155359793,740,17,17,TRUE,4.6 km,16.5 km,23,42
29,"(3166, 'Oakleigh')","(-37.9, 145.08)",Oakleigh,3166,280,4.155359793,369,14,14,TRUE,5.4 km,17.3 km,25,39
30,"(3166, 'Oakleigh East')","(-37.9, 145.08)",Oakleigh East,3166,280,4.155359793,992,24,26,TRUE,8.5 km,20.3 km,27,52
32,"(3166, 'Huntingdale')","(-37.9, 145.08)",Huntingdale,3166,290,4.155359793,320,25,25,TRUE,7.8 km,19.9 km,27,51
33,"(3187, 'Brighton East')","(-37.9, 145.0)",Brighton East,3187,300,4.155359793,65,29,43,TRUE,7.0 km,15.0 km,31,64
