id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3168, 'Clayton')","(-37.93, 145.12)",Clayton,3168,280,1.6 km,939,19,19,TRUE,1.6 km,25.3 km,31,69
"(3204, 'Bentleigh')","(-37.92, 145.04)",Bentleigh,3204,250,10.0 km,5654,39,56,TRUE,10.0 km,16.2 km,31,44
"(3133, 'Vermont South')","(-37.84, 145.19)",Vermont South,3133,350,10.7 km,496,34,39,TRUE,10.7 km,21.5 km,35,81
"(3204, 'Mckinnon')","(-37.92, 145.04)",Mckinnon,3204,250,10.8 km,5654,39,35,TRUE,10.8 km,15.3 km,31,41
"(3163, 'Carnegie')","(-37.89, 145.06)",Carnegie,3163,300,10.9 km,759,40,38,TRUE,10.9 km,14.3 km,26,32
"(3145, 'Malvern East')","(-37.88, 145.05)",Malvern East,3145,325,11.1 km,602,42,40,TRUE,11.1 km,13.9 km,21,42
"(3175, 'Dunearn')","(-38.03, 145.18)",Dunearn,3175,270,11.1 km,66,37,62,TRUE,11.1 km,32.0 km,33,83
"(3189, 'Moorabbin')","(-37.93, 145.04)",Moorabbin,3189,380,11.3 km,1114,44,49,TRUE,11.3 km,22.4 km,33,65
"(3189, 'Moorabbin East')","(-37.93, 145.04)",Moorabbin East,3189,380,11.3 km,606,44,49,TRUE,11.3 km,22.4 km,33,65
"(3145, 'Darling South')","(-37.88, 145.05)",Darling South,3145,325,11.4 km,88,46,44,TRUE,11.4 km,13.7 km,22,36
"(3175, 'Dandenong North')","(-38.03, 145.18)",Dandenong North,3175,250,11.4 km,2371,31,55,TRUE,11.4 km,36.0 km,34,89
"(3147, 'Ashburton')","(-37.86, 145.08)",Ashburton,3147,300,11.8 km,2008,44,54,TRUE,11.8 km,16.0 km,20,45
"(3125, 'Burwood')","(-37.84, 145.12)",Burwood,3125,330,11.8 km,1002,42,35,TRUE,11.8 km,15.1 km,27,66
"(3125, 'Surrey Hills South')","(-37.84, 145.12)",Surrey Hills South,3125,330,11.8 km,1002,42,35,TRUE,11.8 km,15.1 km,27,66
"(3128, 'Box Hill South')","(-37.82, 145.12)",Box Hill South,3128,350,12.0 km,283,44,62,TRUE,12.0 km,19.0 km,29,51
"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162,300,12.1 km,15,41,41,TRUE,12.1 km,12.5 km,30,50
"(3131, 'Forest Hill')","(-37.84, 145.18)",Forest Hill,3131,315,12.1 km,117,36,37,TRUE,12.1 km,22.9 km,35,50
"(3178, 'Rowville')","(-37.93, 145.24)",Rowville,3178,270,12.2 km,6312,37,36,TRUE,12.2 km,33.9 km,35,84
"(3161, 'Caulfield North')","(-38.03, 145.31)",Caulfield North,3161,300,12.3 km,40,54,62,TRUE,12.3 km,9.4 km,25,45
"(3187, 'Brighton East')","(-37.9, 145.0)",Brighton East,3187,300,12.4 km,65,48,54,TRUE,12.4 km,15.0 km,31,64
"(3145, 'Caulfield East')","(-37.88, 145.05)",Caulfield East,3145,310,12.4 km,781,41,36,TRUE,12.4 km,11.2 km,23,30
"(3128, 'Wattle Park')","(-37.82, 145.12)",Wattle Park,3128,350,12.6 km,343,52,56,TRUE,12.6 km,13.3 km,27,53
"(3185, 'Gardenvale')","(-37.88, 145.0)",Gardenvale,3185,325,12.7 km,250,36,31,TRUE,12.7 km,11.9 km,27,33
"(3192, 'Cheltenham')","(-37.96, 145.06)",Cheltenham,3192,340,12.7 km,618,48,59,TRUE,12.7 km,23.4 km,36,63
"(3192, 'Cheltenham East')","(-37.96, 145.06)",Cheltenham East,3192,340,12.7 km,820,48,59,TRUE,12.7 km,23.4 km,36,63
"(3163, 'Booran Road Po')","(-37.89, 145.06)",Booran Road Po,3163,300,12.8 km,81,46,49,TRUE,12.8 km,13.1 km,26,38
"(3131, 'Brentford Square')","(-37.84, 145.18)",Brentford Square,3131,315,13.2 km,260,51,63,TRUE,13.2 km,24.0 km,35,66
"(3161, 'Caulfield Junction')","(-38.03, 145.31)",Caulfield Junction,3161,300,13.2 km,31,46,57,TRUE,13.2 km,10.3 km,26,43
"(3172, 'Dingley Village')","(-37.97, 145.12)",Dingley Village,3172,280,13.4 km,297,58,54,TRUE,13.4 km,28.2 km,37,72
"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144,310,13.6 km,781,51,57,TRUE,13.6 km,8.4 km,18,37
"(3133, 'Vermont')","(-37.84, 145.19)",Vermont,3133,350,13.6 km,622,49,94,TRUE,13.6 km,25.8 km,36,67
"(3192, 'Southland Centre')","(-37.96, 145.06)",Southland Centre,3192,340,13.7 km,820,50,55,TRUE,13.7 km,20.7 km,37,46
"(3152, 'Wantirna South')","(-37.87, 145.24)",Wantirna South,3152,355,13.7 km,604,32,54,TRUE,13.7 km,35.7 km,36,75
"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162,300,13.8 km,52,48,54,TRUE,13.8 km,10.0 km,29,45
"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162,300,13.9 km,220,49,53,TRUE,13.9 km,11.7 km,26,53
"(3131, 'Nunawading')","(-37.84, 145.18)",Nunawading,3131,335,13.9 km,553,47,50,TRUE,13.9 km,21.5 km,32,40
"(3188, 'Hampton East')","(-37.93, 145.03)",Hampton East,3188,380,14.1 km,1114,58,51,TRUE,14.1 km,18.6 km,35,52
"(3163, 'Glen Huntly')","(-37.89, 145.06)",Glen Huntly,3163,300,14.1 km,759,49,48,TRUE,14.1 km,12.7 km,26,33
"(3180, 'Knoxfield')","(-37.89, 145.25)",Knoxfield,3180,270,14.1 km,6312,46,47,TRUE,14.1 km,42.3 km,38,83
"(3145, 'Wattletree Road Po')","(-37.88, 145.05)",Wattletree Road Po,3145,325,14.2 km,602,48,59,TRUE,14.2 km,11.1 km,19,44
"(3185, 'Elsternwick')","(-37.88, 145.0)",Elsternwick,3185,325,14.3 km,4115,41,51,TRUE,14.3 km,10.5 km,27,31
"(3128, 'Box Hill Central')","(-37.82, 145.12)",Box Hill Central,3128,350,14.3 km,283,51,33,TRUE,14.3 km,16.6 km,30,37
"(3130, 'Blackburn')","(-37.82, 145.15)",Blackburn,3130,315,14.3 km,383,42,37,TRUE,14.3 km,19.3 km,31,37
"(3195, 'Waterways')","(-38.03, 145.1)",Waterways,3195,310,14.4 km,300,63,51,TRUE,14.4 km,35.9 km,41,91
"(3128, 'Box Hill')","(-37.82, 145.12)",Box Hill,3128,240,14.5 km,704,53,35,TRUE,14.5 km,16.8 km,30,35
"(3152, 'Knox City Centre')","(-37.87, 145.24)",Knox City Centre,3152,338,14.5 km,1473,61,57,TRUE,14.5 km,25.3 km,39,104
"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,14.6 km,784,54,43,TRUE,14.6 km,12.7 km,29,33
"(3190, 'Highett')","(-37.95, 145.03)",Highett,3190,340,14.8 km,618,51,43,TRUE,14.8 km,19.4 km,36,44
"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,14.9 km,723,53,45,TRUE,14.9 km,12.8 km,29,34
"(3156, 'Mountain Gate')","(-37.88, 145.3)",Mountain Gate,3156,290,14.9 km,705,50,49,TRUE,14.9 km,40.6 km,40,82
"(3124, 'Hartwell')","(-37.82, 145.06)",Hartwell,3124,300,15.2 km,706,57,49,TRUE,15.2 km,13.8 km,22,41
"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146,300,15.2 km,370,52,54,TRUE,15.2 km,11.2 km,17,34
"(3156, 'Ferntree Gully')","(-37.88, 145.3)",Ferntree Gully,3156,348,15.4 km,790,44,43,TRUE,15.4 km,38.7 km,39,70
"(3143, 'Armadale North')","(-37.86, 145.02)",Armadale North,3143,330,15.5 km,2932,51,45,TRUE,15.5 km,8.0 km,21,24
"(3143, 'Armadale')","(-37.86, 145.02)",Armadale,3143,300,15.5 km,1326,51,45,TRUE,15.5 km,8.0 km,21,24
"(3181, 'Prahran East')","(-37.85, 144.99)",Prahran East,3181,270,15.7 km,903,52,57,TRUE,15.7 km,6.7 km,19,33
"(3181, 'Prahran')","(-37.85, 144.99)",Prahran,3181,270,15.7 km,412.5140736,52,57,TRUE,15.7 km,6.7 km,19,33
"(3132, 'Mitcham')","(-37.82, 145.19)",Mitcham,3132,335,15.8 km,282,60,63,TRUE,15.8 km,24.1 km,36,55
"(3173, 'Keysborough')","(-37.99, 145.15)",Keysborough,3173,355,16.2 km,1312,55,63,TRUE,16.2 km,32.9 km,37,73
"(3175, 'Dandenong')","(-38.03, 145.18)",Dandenong,3175,270,16.2 km,534,41,44,TRUE,16.2 km,32.5 km,36,66
"(3175, 'Dandenong East')","(-38.03, 145.18)",Dandenong East,3175,270,16.2 km,1316,41,44,TRUE,16.2 km,32.5 km,36,66
