,id,geo,suburb,postcode,rent,Monash University - Parkville,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3050, 'Royal Melbourne Hospital')","(-37.8, 144.96)",Royal Melbourne Hospital,3050,300,0,412.5140736,10,9,TRUE,1.9 km,2.1 km,13,13
1,"(3052, 'Parkville')","(-37.8, 144.96)",Parkville,3052,255,0,759,21,21,TRUE,1.7 km,4.2 km,18,27
2,"(3052, 'Melbourne University')","(-37.8, 144.96)",Melbourne University,3052,300,0,759,6,6,TRUE,1.4 km,2.0 km,10,11
3,"(3010, 'University Of Melbourne')","(-37.8, 144.96)",University Of Melbourne,3010,300,0,412.5140736,6,6,TRUE,1.4 km,2.0 km,10,11
4,"(8011, 'Little Lonsdale Street')","(-37.81, 144.96)",Little Lonsdale Street,8011,360,1.111950837,412.5140736,13,11,TRUE,3.1 km,0.6 km,8,5
5,"(8006, 'Abeckett Street')","(-37.81, 144.96)",Abeckett Street,8006,280,1.111950837,12,17,15,TRUE,3.4 km,0.9 km,10,8
7,"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,1.417142151,14270,17,15,TRUE,3.7 km,3 m,1,1
8,"(3066, 'Collingwood North')","(-37.8, 144.98)",Collingwood North,3066,350,1.757227052,1620,35,37,TRUE,5.1 km,3.5 km,14,25
9,"(3066, 'Collingwood')","(-37.8, 144.98)",Collingwood,3066,350,1.757227052,1620,35,37,TRUE,5.1 km,3.5 km,14,25
10,"(3065, 'Fitzroy')","(-37.8, 144.98)",Fitzroy,3065,380,1.757227052,1917,31,35,TRUE,4.4 km,3.1 km,15,21
11,"(3003, 'West Melbourne')","(-37.81, 144.94)",West Melbourne,3003,310,2.079390177,1454,55,54,TRUE,8.9 km,5.0 km,20,39
13,"(3006, 'Southbank')","(-37.82, 144.97)",Southbank,3006,330,2.391127629,3870,29,27,TRUE,4.7 km,1.5 km,11,13
16,"(3006, 'South Wharf')","(-37.82, 144.97)",South Wharf,3006,330,2.391127629,178,37,36,TRUE,5.4 km,1.9 km,17,16
17,"(3054, 'Princes Hill')","(-37.78, 144.97)",Princes Hill,3054,320,2.391215042,190,11,13,TRUE,1.1 km,4.7 km,16,27
18,"(3054, 'Carlton North')","(-37.78, 144.97)",Carlton North,3054,320,2.391215042,459,20,15,TRUE,1.6 km,4.7 km,15,22
19,"(3053, 'Carlton South')","(-37.78, 144.97)",Carlton South,3053,255,2.391215042,2227,22,22,TRUE,3.1 km,2.1 km,9,15
20,"(3053, 'Carlton')","(-37.78, 144.97)",Carlton,3053,255,2.391215042,2227,25,24,TRUE,2.9 km,3.2 km,11,19
21,"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,2.860949265,1006,30,20,TRUE,3.8 km,4.7 km,17,23
22,"(3031, 'Kensington')","(-37.79, 144.93)",Kensington,3031,320,2.860949265,689,24,24,TRUE,3.8 km,5.1 km,19,22
23,"(3068, 'Clifton Hill')","(-37.79, 144.99)",Clifton Hill,3068,330,2.860949265,405,40,36,TRUE,9.9 km,6.3 km,20,24
24,"(3031, 'Flemington')","(-37.79, 144.93)",Flemington,3031,320,2.860949265,993,42,31,TRUE,7.8 km,6.4 km,22,32
26,"(3207, 'Port Melbourne')","(-37.83, 144.96)",Port Melbourne,3207,300,3.335852512,851,51,62,TRUE,9.3 km,5.8 km,21,26
27,"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,3.448407273,1022,33,29,TRUE,5.5 km,1.9 km,8,11
28,"(3067, 'Abbotsford')","(-37.8, 145.0)",Abbotsford,3067,350,3.514454083,1398,39,43,TRUE,8.2 km,4.7 km,17,24
29,"(3055, 'Moonee Vale')","(-37.77, 144.94)",Moonee Vale,3055,290,3.770545414,1041,47,48,TRUE,11.0 km,10.7 km,29,49
30,"(3055, 'Moreland West')","(-37.77, 144.94)",Moreland West,3055,290,3.770545414,1041,24,24,TRUE,4.7 km,8.9 km,23,42
31,"(3055, 'Brunswick West')","(-37.77, 144.94)",Brunswick West,3055,290,3.770545414,1041,23,23,TRUE,3.9 km,8.1 km,24,41
33,"(3032, 'Ascot Vale')","(-37.78, 144.92)",Ascot Vale,3032,330,4.159383363,1177,34,28,TRUE,6.1 km,5.7 km,21,27
35,"(3032, 'Maribyrnong')","(-37.78, 144.92)",Maribyrnong,3032,330,4.159383363,1316,40,56,TRUE,11.3 km,10.7 km,26,39
36,"(3032, 'Travancore')","(-37.78, 144.92)",Travancore,3032,330,4.159383363,136,36,30,TRUE,5.7 km,5.0 km,21,28
37,"(3206, 'Albert Park')","(-37.84, 144.96)",Albert Park,3206,300,4.447803349,851,42,41,TRUE,8.3 km,4.7 km,18,23
38,"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,4.447803349,851,53,58,TRUE,8.9 km,5.6 km,18,30
39,"(3004, 'Melbourne')","(-37.84, 144.98)",Melbourne,3004,300,4.782167802,4831,49,45,TRUE,8.0 km,2.9 km,14,25
40,"(3004, 'St Kilda Road Central')","(-37.84, 144.98)",St Kilda Road Central,3004,300,4.782167802,4831,34,33,TRUE,6.3 km,2.8 km,13,17
41,"(8004, 'St Kilda Road')","(-37.84, 144.98)",St Kilda Road,8004,280,4.782167802,6,38,37,TRUE,7.4 km,3.9 km,15,21
42,"(3057, 'Sumner')","(-37.76, 144.98)",Sumner,3057,350,4.782517453,796,25,30,TRUE,3.4 km,5.6 km,19,26
43,"(3057, 'Lygon Street North')","(-37.76, 144.98)",Lygon Street North,3057,350,4.782517453,796,22,21,TRUE,3.2 km,6.0 km,20,31
