,id,geo,suburb,postcode,rent,Monash University - Peninsula,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
0,"(3199, 'Frankston East')","(-38.15, 145.12)",Frankston East,3199,310,0,203,7,7,TRUE,0.6 km,44.3 km,44,88
1,"(3199, 'Frankston South')","(-38.15, 145.12)",Frankston South,3199,310,0,631,7,6,TRUE,2.5 km,51.2 km,48,118
2,"(3199, 'Frankston Heights')","(-38.15, 145.12)",Frankston Heights,3199,310,0,358,18,23,TRUE,2.8 km,47.1 km,49,99
3,"(3199, 'Frankston')","(-38.15, 145.12)",Frankston,3199,310,0,297,7,7,TRUE,0.6 km,44.3 km,44,88
4,"(3199, 'Karingal')","(-38.15, 145.12)",Karingal,3199,260,0,1665,24,24,TRUE,4.7 km,47.1 km,46,113
5,"(3199, 'Karingal Centre')","(-38.15, 145.12)",Karingal Centre,3199,260,0,1665,24,24,TRUE,4.7 km,47.1 km,46,113
6,"(3220, 'South Geelong')","(-38.18, 145.11)",South Geelong,3220,295,3.448511592,172,180,187,TRUE,131 km,85.4 km,72,105
7,"(3220, 'Newtown')","(-38.18, 145.11)",Newtown,3220,295,3.448511592,534,179,401,TRUE,135 km,89.4 km,69,116
8,"(3220, 'Geelong')","(-38.18, 145.11)",Geelong,3220,295,3.448511592,333,166,191,TRUE,129 km,83.2 km,69,91
9,"(3220, 'Bareena')","(-38.18, 145.11)",Bareena,3220,295,3.448511592,122,183,197,TRUE,130 km,85.3 km,70,107
10,"(8002, 'East Melbourne')","(-38.11, 145.15)",East Melbourne,8002,280,5.164149526,50,93,107,TRUE,45.6 km,2.8 km,10,17
11,"(3930, 'Mount Eliza')","(-38.19, 145.08)",Mount Eliza,3930,240,5.657773399,63,33,34,TRUE,10.4 km,51.4 km,56,102
12,"(3930, 'Kunyung')","(-38.19, 145.08)",Kunyung,3930,240,5.657773399,85,43,43,TRUE,11.7 km,52.8 km,58,113
13,"(3198, 'Seaford')","(-38.11, 145.16)",Seaford,3198,310,5.658959092,534,32,48,TRUE,7.4 km,40.4 km,44,93
15,"(3910, 'Langwarrin')","(-38.15, 145.19)",Langwarrin,3910,220,6.121037689,106,42,42,TRUE,7.5 km,51.4 km,51,125
17,"(3200, 'Frankston North')","(-38.17, 145.19)",Frankston North,3200,250,6.511725289,5654,36,45,TRUE,8.0 km,44.1 km,47,97
18,"(3911, 'Baxter')","(-38.2, 145.16)",Baxter,3911,220,6.567848462,16,20,19,TRUE,5.6 km,51.6 km,50,95
19,"(3911, 'Langwarrin South')","(-38.2, 145.16)",Langwarrin South,3911,220,6.567848462,8,34,32,TRUE,8.5 km,54.2 km,52,117
20,"(3197, 'Carrum')","(-38.08, 145.12)",Carrum,3197,310,7.783655861,467,22,31,TRUE,10.1 km,35.4 km,44,67
21,"(3197, 'Patterson Lakes')","(-38.08, 145.12)",Patterson Lakes,3197,310,7.783655861,29,48,75,TRUE,12.7 km,38.4 km,41,91
22,"(3201, 'Carrum Downs')","(-38.09, 145.19)",Carrum Downs,3201,250,9.055912791,5654,42,33,TRUE,10.0 km,45.9 km,43,97
23,"(3196, 'Edithvale')","(-38.06, 145.12)",Edithvale,3196,310,10.00755754,839,31,39,TRUE,14.8 km,30.9 km,44,64
24,"(3196, 'Chelsea')","(-38.06, 145.12)",Chelsea,3196,310,10.00755754,216,25,34,TRUE,12.7 km,32.6 km,46,63
25,"(3196, 'Chelsea Heights')","(-38.06, 145.12)",Chelsea Heights,3196,310,10.00755754,839,54,58,TRUE,15.8 km,35.0 km,43,78
26,"(3196, 'Bonbeach')","(-38.06, 145.12)",Bonbeach,3196,310,10.00755754,179,31,39,TRUE,12.1 km,34.5 km,48,72
28,"(3912, 'Somerville')","(-38.2, 145.23)",Somerville,3912,220,11.10712468,921,21,20,TRUE,10.5 km,55.2 km,53,96
29,"(3912, 'Pearcedale')","(-38.2, 145.23)",Pearcedale,3912,220,11.10712468,12,64,65,TRUE,23.7 km,64.2 km,54,113
30,"(3931, 'Mornington')","(-38.24, 145.06)",Mornington,3931,240,11.29796758,7,46,47,TRUE,15.3 km,57.1 km,59,119
