id,geo,suburb,postcode,rent,RMIT University - Brunswick,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3056, 'Brunswick')","(-37.76, 144.94)",Brunswick,3056,320,0,2582,8,8,TRUE,1.0 km,5.9 km,23,28
"(3056, 'Brunswick Lower')","(-37.76, 144.94)",Brunswick Lower,3056,320,0,2582,6,6,TRUE,1.5 km,4.5 km,17,21
"(3012, 'Kingsville')","(-37.81, 144.85)",Kingsville,3012,260,9.667737322,166,35,37,TRUE,10.1 km,9.5 km,24,37
"(3012, 'Kingsville West')","(-37.81, 144.85)",Kingsville West,3012,260,9.667737322,944,35,37,TRUE,10.1 km,9.5 km,24,37
"(3081, 'Bellfield')","(-37.75, 145.05)",Bellfield,3081,330,9.73435054,140,39,34,TRUE,10.1 km,13.8 km,28,40
"(3034, 'Avondale Heights')","(-37.74, 144.82)",Avondale Heights,3034,320,10.78233135,456,61,73,TRUE,10.1 km,14.0 km,34,68
"(3079, 'Ivanhoe North')","(-37.77, 145.04)",Ivanhoe North,3079,350,8.860346773,647,42,47,TRUE,10.2 km,11.6 km,25,33
"(3079, 'Ivanhoe')","(-37.77, 145.04)",Ivanhoe,3079,350,8.860346773,647,42,47,TRUE,10.2 km,11.6 km,25,33
"(3072, 'Northland Centre')","(-37.74, 145.03)",Northland Centre,3072,320,8.219444377,3936,46,47,TRUE,10.3 km,13.6 km,33,46
"(3011, 'Seddon')","(-37.8, 144.9)",Seddon,3011,270,5.669305842,252,27,29,TRUE,10.4 km,8.3 km,24,28
"(3011, 'Seddon West')","(-37.8, 144.9)",Seddon West,3011,290,5.669305842,2797,26,28,TRUE,10.5 km,8.2 km,24,26
"(3046, 'Glenroy')","(-37.7, 144.92)",Glenroy,3046,285,6.899662653,1549,41,54,TRUE,10.5 km,15.9 km,27,40
"(3012, 'West Footscray')","(-37.81, 144.85)",West Footscray,3012,260,9.667737322,754,36,38,TRUE,10.6 km,11.2 km,26,38
"(3207, 'Port Melbourne')","(-37.83, 144.96)",Port Melbourne,3207,300,7.979571569,851,52,65,TRUE,10.7 km,5.8 km,21,26
"(3073, 'Reservoir North')","(-37.69, 145.01)",Reservoir North,3073,300,9.924121974,4564,47,54,TRUE,10.7 km,18.3 km,35,55
"(3019, 'Braybrook')","(-37.78, 144.86)",Braybrook,3019,280,7.375053303,1510,55,48,TRUE,11.0 km,11.7 km,31,49
"(3019, 'Braybrook North')","(-37.78, 144.86)",Braybrook North,3019,280,7.375053303,1510,50,51,TRUE,11.0 km,13.6 km,31,54
"(3013, 'Yarraville West')","(-37.82, 144.89)",Yarraville West,3013,270,7.988486153,850,34,42,TRUE,11.0 km,10.0 km,22,32
"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121,350,9.920510534,3899,38,43,TRUE,11.0 km,4.0 km,15,21
"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121,340,9.920510534,49,38,43,TRUE,11.0 km,4.0 km,15,21
"(3006, 'Southbank')","(-37.82, 144.97)",Southbank,3006,330,7.173645011,3870,36,33,TRUE,11.3 km,1.5 km,11,13
